reaction_id,reaction_index_CUSTOM,reaction_type,inputs_metal_and_ligand_SMILES,inputs_aryl_halide_SMILES,inputs_amine_SMILES,inputs_solvent_SMILES,inputs_base_SMILES,temperature_Celsius,yield_percent
ord-7de418c96a5744b38813cd5aa589044e,,Nano C-N,,c1cc(c(cc1N2C[C@@H](OC2=O)Cn3ccnn3)F)I;CS(C)=O,,,,55.0,97.36
ord-e0804cc99bd046fdb3b8aad7ffb6fc98,,Nano C-N,,c1cc(c(cc1N2C[C@@H](OC2=O)Cn3ccnn3)F)I;CS(C)=O,,,,55.0,13.22
ord-e6bf580622e64867a9eb7dae6c6b47ab,,Nano C-N,,CCCc1nc2ccc(cc2c(=O)n1Cc3ccc(cc3)c4ccccc4S(=O)(=O)NC(C)(C)C)I;CS(C)=O,,,,55.0,53.67
ord-08ce5bff79f94fb6b8b5bd87a2fd7140,,Nano C-N,,CCCc1nc2ccc(cc2c(=O)n1Cc3ccc(cc3)c4ccccc4S(=O)(=O)NC(C)(C)C)I;CS(C)=O,,,,55.0,42.7
ord-fc597c7ba6b54a448bd3fb8eb6088f12,,Nano C-N,,CCCc1nc2ccc(cc2c(=O)n1Cc3ccc(cc3)c4ccccc4S(=O)(=O)NC(C)(C)C)I;CS(C)=O,,,,55.0,46.03
ord-a639d455a6544db49a1aea7bf292fe9a,,Nano C-N,,CCCc1nc2ccc(cc2c(=O)n1Cc3ccc(cc3)c4ccccc4S(=O)(=O)NC(C)(C)C)I;CS(C)=O,,,,55.0,37.42
ord-38310e4eabb64b049f5aa2c1da142617,,Nano C-N,,CCCc1nc2ccc(cc2c(=O)n1Cc3ccc(cc3)c4ccccc4S(=O)(=O)NC(C)(C)C)I;CS(C)=O,,,,55.0,41.94
ord-d077635d60c34c68bed6069896c95afd,,Nano C-N,,CCCc1nc2ccc(cc2c(=O)n1Cc3ccc(cc3)c4ccccc4S(=O)(=O)NC(C)(C)C)I;CS(C)=O,,,,55.0,37.48
ord-95dde9df75714eaaa968ed6d65398a8d,,Nano C-N,,CCCc1nc2ccc(cc2c(=O)n1Cc3ccc(cc3)c4ccccc4S(=O)(=O)NC(C)(C)C)I;CS(C)=O,,,,55.0,41.4
ord-e038f32134194dca878d3e2631de730e,,Nano C-N,,CCCc1nc2ccc(cc2c(=O)n1Cc3ccc(cc3)c4ccccc4S(=O)(=O)NC(C)(C)C)I;CS(C)=O,,,,55.0,41.29
ord-22e4984ed38342eb81ebef6432c9676c,,Nano C-N,,Cc1cc2c(cc1Cl)C3(CCN(CC3)C(=O)OC(C)(C)C)C[C@H]2C(C)(C)NC(=O)C;CS(C)=O,,,,55.0,0.0
ord-f951ca9e3db04f0d9906d6e5a69351e9,,Nano C-N,,Cc1cc2c(cc1Cl)C3(CCN(CC3)C(=O)OC(C)(C)C)C[C@H]2C(C)(C)NC(=O)C;CS(C)=O,,,,55.0,0.33
ord-18bb445e2b1b4bafb219a74161828c7b,,Nano C-N,,Cc1cc2c(cc1Cl)C3(CCN(CC3)C(=O)OC(C)(C)C)C[C@H]2C(C)(C)NC(=O)C;CS(C)=O,,,,55.0,0.67
ord-c64f2858d9014941b8a604170fe2d889,,Nano C-N,,Cc1cc2c(cc1Cl)C3(CCN(CC3)C(=O)OC(C)(C)C)C[C@H]2C(C)(C)NC(=O)C;CS(C)=O,,,,55.0,0.0
ord-06e7d93d7ca94035a034ff1249da5425,,Nano C-N,,Cc1cc2c(cc1Cl)C3(CCN(CC3)C(=O)OC(C)(C)C)C[C@H]2C(C)(C)NC(=O)C;CS(C)=O,,,,55.0,0.0
ord-853655242bf44cf7bb32e9d6ecfe13e3,,Nano C-N,,Cc1cc2c(cc1Cl)C3(CCN(CC3)C(=O)OC(C)(C)C)C[C@H]2C(C)(C)NC(=O)C;CS(C)=O,,,,55.0,0.85
ord-c75c46298a6b49e88ebf07f39d9ef131,,Nano C-N,,Cc1cc2c(cc1Cl)C3(CCN(CC3)C(=O)OC(C)(C)C)C[C@H]2C(C)(C)NC(=O)C;CS(C)=O,,,,55.0,0.0
ord-ac6334e948da420ea72bdbfd546b3375,,Nano C-N,,COC(=O)CC1CCc2cc(cc3c2n1c(=O)c(=O)[nH]3)Br;CS(C)=O,,,,55.0,0.0
ord-63a947a43ff44e1ea3a2c1bf092d89c2,,Nano C-N,,c1cc2c(cc1Cl)[C@@](OC(=O)N2)(C#CC3CC3)C(F)(F)F;CS(C)=O,,,,55.0,0.0
ord-9b13c0c65713420ebbc5af5aef51f0de,,Nano C-N,,c1cc2c(cc1Cl)[C@@](OC(=O)N2)(C#CC3CC3)C(F)(F)F;CS(C)=O,,,,55.0,0.0
ord-f0e1428c62844fa3adbd19d5e4c628bf,,Nano C-N,,COC(=O)CC1CCc2cc(cc3c2n1c(=O)c(=O)[nH]3)Br;CS(C)=O,,,,55.0,0.0
ord-d939f6eaa18b4cfe9ee51a8c58bd90d1,,Nano C-N,,c1cc2c(cc1Cl)[C@@](OC(=O)N2)(C#CC3CC3)C(F)(F)F;CS(C)=O,,,,55.0,0.0
